Category,Number of Books
Travel,11
Mystery,32
Historical Fiction,26
Sequential Art,75
Classics,19
Romance,35
Womens Fiction,17
Fiction,65
Childrens,29
Religion,7
Nonfiction,110
Music,13
Default,152
Science Fiction,16
Sports and Games,5
Add a comment,67
Fantasy,48
Young Adult,54
Science,14
Poetry,19
Paranormal,1
Art,8
Psychology,14
Parenting,1
Adult Fiction,1
Humor,10
Horror,17
History,18
Food and Drink,30
Christian Fiction,6
Business,12
Biography,5
Thriller,11
Contemporary,3
Spirituality,6
Academic,1
Self Help,10
Christian,3
Suspense,1
Short Stories,1
Novels,1
Health,4
Politics,3
Cultural,1
Erotica,1
Crime,1
